raMean,decMean,rMeanPSFMag
251.97630173,16.9374356,-999.0
251.96537494,17.01301329,-999.0
251.96846582,16.99000549,-999.0
251.96855556,16.99121864,-999.0
251.96790132,16.99151519,-999.0
251.96786452,16.99687536,-999.0
251.96632083,16.99804422,-999.0
251.96359307,16.99548189,-999.0
251.96624956,16.99467953,-999.0
251.96767872,16.99494284,-999.0
251.96498676,16.99659215,-999.0
251.96519354,16.99624924,-999.0
251.96044813,16.98904369,-999.0
251.96116877,16.98970764,-999.0
251.96081105,16.99015067,-999.0
251.962829,16.99125888,-999.0
251.96274296,16.99188043,-999.0
251.96710637,16.99322226,-999.0
251.96542863,16.99204976,-999.0
251.96390253,17.00632323,-999.0
251.9653726,17.00439071,-999.0
251.96527304,17.00408367,18.11370086669922
251.96495613,17.0036653,21.686199188232422
251.96518757,17.00502512,-999.0
251.96468288,17.00521832,-999.0
251.96487893,17.00492364,-999.0
251.96597411,16.99827023,-999.0
251.96561915,16.99861538,-999.0
251.96203534,16.99539056,-999.0
251.96257687,16.99541663,-999.0
251.97669224,16.93903991,-999.0
251.97533867,16.93994808,-999.0
251.97606175,16.9434555,-999.0
251.97433324,16.94204842,-999.0
251.97423564,16.9413035,-999.0
251.9750688,16.94794396,19.962099075317383
251.97342722,16.94493446,22.146299362182617
251.97314622,16.94247169,-999.0
251.97417628,16.94347823,-999.0
251.97059,16.96057912,-999.0
251.97157797,16.96110616,-999.0
251.97297085,16.96095052,20.784900665283203
251.96838661,16.95771073,21.536100387573242
251.96919258,16.95747566,-999.0
251.96990093,16.95953524,-999.0
251.97314345,16.95967476,21.652700424194336
251.9735791,16.95853418,-999.0
251.97204198,16.96018931,20.87849998474121
251.97075981,16.95917387,-999.0
251.97107501,16.95965019,20.97640037536621
251.96767607,16.95221859,-999.0
251.96614526,16.95484539,-999.0
251.96804816,16.95473538,-999.0
251.96713504,16.95599988,-999.0
251.9668677,16.95537175,-999.0
251.96699433,16.95564935,-999.0
251.97452049,16.95152208,21.733800888061523
251.97382216,16.95618978,16.425899505615234
251.96850938,16.95341807,-999.0
251.96922435,16.95369908,-999.0
251.97294528,16.95633349,-999.0
251.97119297,16.9564996,-999.0
251.97182262,16.95519426,-999.0
251.97028818,16.9573149,21.512500762939453
251.96933183,16.95685096,-999.0
251.9692629,16.95718679,-999.0
251.96814377,16.95617569,21.662799835205078
251.9700158,16.95643411,-999.0
251.96869987,16.95505994,-999.0
251.96866563,16.95469874,-999.0
251.97272137,16.95016407,22.00309944152832
251.96808408,16.95092975,-999.0
251.9670086,16.98501825,-999.0
251.96906345,16.98554579,20.6294002532959
251.96804819,16.9820272,-999.0
251.96766522,16.98445456,-999.0
251.96112979,16.97601665,-999.0
251.96272762,16.97985372,-999.0
251.96324067,16.97772816,-999.0
251.96177713,16.97629823,-999.0
251.97103649,16.97631914,21.59309959411621
251.970278,16.97654074,-999.0
251.96834091,16.97813888,-999.0
251.96621222,16.97840587,21.13680076599121
251.96814296,16.9798465,-999.0
251.96823752,16.97951528,-999.0
251.97253303,16.96471838,21.54990005493164
251.97220124,16.96457954,-999.0
251.97027923,16.96708322,-999.0
251.97228536,16.96724831,-999.0
251.96895152,16.96581919,-999.0
251.96903446,16.96471963,-999.0
251.96991412,16.96383858,-999.0
251.97074297,16.9652404,-999.0
251.97092794,16.97480581,-999.0
251.97135446,16.97478446,-999.0
251.96852205,16.97166928,-999.0
251.9719639,16.97000293,21.733200073242188
251.97110139,16.96955558,22.127399444580078
251.97158574,16.97166294,21.694900512695312
251.96993951,16.96964376,-999.0
251.97151417,16.97042963,-999.0
251.9692633,16.97046042,-999.0
251.97074815,16.97245011,-999.0
251.97028021,16.97122926,-999.0
251.9629072,16.96493495,-999.0
251.96457697,16.96573455,-999.0
251.96814082,16.96912535,-999.0
251.96683358,16.96410568,-999.0
251.96692668,16.9650661,-999.0
251.96865818,16.96602884,-999.0
251.96983788,16.96906862,-999.0
251.97032316,16.96749058,21.720399856567383
251.97071415,16.9687279,22.037099838256836
251.96293645,16.96876913,-999.0
251.96857625,16.97514525,-999.0
251.96157639,16.97323716,-999.0
251.96468179,16.97308693,21.078100204467773
251.96203528,16.97182821,18.690900802612305
251.96198599,16.97151478,-999.0
251.96236511,16.97210974,-999.0
251.9700614,16.96259032,-999.0
251.97080691,16.96216407,21.37969970703125
251.97144882,16.96223721,-999.0
251.96837912,16.96323483,18.626399993896484
251.96860434,16.96344215,-999.0
251.96764675,16.9588266,-999.0
251.9684659,16.96017566,20.164100646972656
251.96810653,16.96008657,20.364700317382812
251.96797066,16.95958783,-999.0
251.96834067,16.95912769,21.141199111938477
251.96933637,16.96076381,19.978900909423828
251.96953443,16.96291862,-999.0
251.96888194,16.96090146,20.2189998626709
251.96573843,16.96319984,-999.0
251.96392214,16.96264118,-999.0
251.96355933,16.96247828,21.98710060119629
251.96668368,16.95755955,-999.0
251.96731032,16.95818672,-999.0
251.9670052,16.95818851,21.56410026550293
251.967202,16.96008787,20.791000366210938
251.96651082,16.95941587,-999.0
251.9670278,16.95981884,-999.0
251.96533197,16.95783712,-999.0
251.966436,16.95805642,-999.0
251.9652212,16.96197478,-999.0
251.96561764,16.96117115,20.82349967956543
251.96434084,16.96065777,20.827800750732422
251.96804241,16.98692089,-999.0
251.96385642,16.98730209,21.59600067138672
251.96388791,16.98370329,18.815399169921875
251.96137734,16.98109077,21.911300659179688
251.96181069,16.98387321,-999.0
252.07442551,16.93296931,-999.0
252.07404808,16.933031,20.7450008392334
252.07392541,16.93260244,21.682199478149414
252.06959884,16.9314901,-999.0
252.06985549,16.93349597,-999.0
252.07010459,16.93208469,-999.0
252.07052205,16.93374246,-999.0
252.06969155,16.9252664,-999.0
252.06823009,16.92572273,-999.0
252.06834827,16.92471763,-999.0
252.06796776,16.9267806,-999.0
252.06865986,16.92776777,-999.0
252.06831479,16.92625078,-999.0
252.06894838,16.92610327,-999.0
252.07018122,16.9263377,-999.0
252.06870379,16.93020651,-999.0
252.06974887,16.93102674,-999.0
252.06971627,16.92992461,-999.0
252.07228935,16.92911878,-999.0
252.05404905,16.93528192,-999.0
252.05445292,16.93503749,21.626699447631836
252.05581264,16.93488595,-999.0
252.05489285,16.93091539,-999.0
252.05590328,16.93235819,-999.0
252.05651106,16.93219306,-999.0
252.05550874,16.93111096,20.670900344848633
252.05855649,16.93515679,-999.0
252.05881481,16.93441475,20.899200439453125
252.05742687,16.93265079,20.430400848388672
252.05787916,16.93369521,20.885799407958984
252.05778258,16.93436238,20.60930061340332
252.05684194,16.93527885,-999.0
252.05543326,16.93356506,-999.0
252.05487051,16.93309019,19.73110008239746
252.05619756,16.93383191,-999.0
252.05649268,16.93370423,-999.0
252.05582937,16.92469966,20.696399688720703
252.05585211,16.9243279,-999.0
252.05723421,16.92538234,-999.0
252.05526797,16.92627059,20.778099060058594
252.05826872,16.92649895,-999.0
252.05841685,16.9275038,-999.0
252.05503952,16.92787298,20.607999801635742
252.05544046,16.92757788,20.66939926147461
252.05636069,16.92885395,-999.0
252.05561157,16.92671066,-999.0
252.06575386,16.93493476,-999.0
252.06586505,16.93461874,-999.0
252.06412128,16.93372492,-999.0
252.06247502,16.93106536,17.958200454711914
252.06065735,16.9313689,-999.0
252.06112452,16.93145339,19.96619987487793
252.05582464,17.05272816,-999.0
252.05609376,17.05226528,21.590099334716797
252.05580781,17.05309312,-999.0
252.05002755,17.05562749,-999.0
252.04965862,17.05603595,-999.0
252.04950661,17.05095673,-999.0
252.04987044,17.05138737,-999.0
252.05052939,17.05273036,21.693899154663086
252.0528705,17.05532334,21.784799575805664
252.05479336,17.04991076,-999.0
252.05307577,17.04859526,21.82979965209961
252.05104263,17.04993248,-999.0
252.05226595,17.04928706,-999.0
252.05523358,17.05049321,21.823299407958984
252.04906627,17.04557162,-999.0
252.04380887,17.04458557,-999.0
252.04676832,17.04488085,-999.0
252.04840926,17.04620672,-999.0
252.03953209,17.04595802,-999.0
252.04119874,17.04485123,-999.0
252.04218546,17.04783207,-999.0
252.0418882,17.04728964,22.512399673461914
252.04336447,17.05044204,-999.0
252.04347942,17.04993299,-999.0
252.04369427,17.04845782,-999.0
252.0442107,17.05042099,21.88719940185547
252.04357253,17.04474856,20.069599151611328
252.03671743,17.05976681,-999.0
252.03611201,17.05946002,-999.0
252.03863976,17.06045576,-999.0
252.0352795,17.0604162,-999.0
252.03634393,17.06033489,-999.0
252.04149957,17.06797047,-999.0
252.04117265,17.06401424,-999.0
252.04199048,17.06741967,21.383800506591797
252.03421479,17.06481496,-999.0
252.03965887,17.06616776,-999.0
252.03756942,17.06297056,-999.0
252.03826322,17.06315032,15.63949966430664
252.03902244,17.06297002,-999.0
252.03846809,17.06345175,-999.0
252.03763207,17.06389143,-999.0
252.01528598,17.03607363,-999.0
252.01741046,17.03944053,-999.0
252.01309289,17.03746633,-999.0
252.02193373,17.04525065,-999.0
252.02254343,17.04463628,-999.0
252.01225596,17.04358838,19.212799072265625
252.01247928,17.04391904,21.033899307250977
252.01473311,17.04376194,-999.0
252.01473475,17.04376117,-999.0
252.01498263,17.04221258,21.80500030517578
252.01781739,17.04058882,-999.0
252.01799453,17.04224135,21.203699111938477
252.01539749,17.04163073,17.78380012512207
252.01571638,17.04189261,19.168899536132812
252.03341242,17.05507795,21.207300186157227
252.03354488,17.05614032,-999.0
252.03017192,17.05267125,21.614900588989258
252.03066123,17.05476393,21.502399444580078
252.02307828,17.0551986,-999.0
252.02409822,17.05570037,-999.0
252.02446867,17.05265856,-999.0
252.02769329,17.05676715,21.867599487304688
252.02483666,17.05501599,-999.0
252.02622911,17.04873437,-999.0
252.02443406,17.05178499,-999.0
252.01420096,17.05680253,-999.0
252.01427803,17.0493232,-999.0
252.01462126,17.0497945,20.92020034790039
252.01535985,17.05134314,21.3533992767334
252.01097758,17.0508661,-999.0
252.01179758,17.05139749,-999.0
252.01323954,17.05118042,-999.0
252.01154662,17.04928409,-999.0
252.01355581,17.04967303,-999.0
252.01289592,17.04981652,-999.0
252.01839602,17.05371735,21.885700225830078
252.01968522,17.05476626,-999.0
252.01960432,17.05570176,-999.0
252.01947687,17.05641789,-999.0
252.0184217,17.0551426,-999.0
252.01431224,17.05570026,-999.0
252.01899154,17.05246528,-999.0
252.02267745,17.05212055,-999.0
252.02140926,17.05445378,-999.0
252.01758886,17.04789402,-999.0
252.01499646,17.04951214,-999.0
252.01685229,17.0492179,-999.0
252.01636284,17.04836496,-999.0
252.02242514,17.04894482,-999.0
252.02074122,17.04669981,-999.0
252.02077915,17.04832794,-999.0
252.02094631,17.04714922,-999.0
252.02079926,17.04940852,-999.0
252.01475644,17.05963566,-999.0
252.01408716,17.0579927,-999.0
252.02202321,17.0575579,21.69260025024414
252.02123056,17.05938474,-999.0
252.02658386,16.92756303,-999.0
252.02755575,16.92723046,-999.0
252.02709178,16.92686942,-999.0
252.02350261,16.92497611,-999.0
252.02793731,16.92956696,-999.0
252.02287568,16.92926904,-999.0
252.00758256,16.91434324,-999.0
252.00764224,16.91465017,-999.0
252.01227103,16.91351022,18.059099197387695
252.01101505,16.91346577,-999.0
252.01116364,16.91734317,-999.0
252.00994349,16.91548144,-999.0
252.0167061,16.91393311,22.212299346923828
252.01776904,16.91765904,-999.0
252.0177952,16.91628814,21.21929931640625
252.01776515,16.91635562,21.16990089416504
252.01543129,16.91386878,-999.0
252.01631238,16.91398011,-999.0
