id  ra  dec  distance
278  302.84371049119505  -20.0  3.4437
279  303.9291718191205  -20.0  2.919
280  305.0146331470459  -20.0  2.7012
281  306.10009447497134  -20.0  2.8614
282  307.1855558028968  -20.0  3.3457
609  302.60617932298646  -19.3  3.0992
610  303.6869156777114  -19.3  2.4083
611  304.7676520324364  -19.3  2.0247
612  305.84838838716126  -19.3  2.1225
613  306.92912474188626  -19.3  2.6487
614  308.0098610966112  -19.3  3.4105
942  302.4156502505724  -18.6  2.8655
943  303.4918625290442  -18.6  2.0076
944  304.568074807516  -18.6  1.395
945  305.6442870859878  -18.6  1.3993
946  306.7204993644596  -18.6  2.0165
947  307.79671164293137  -18.6  2.8759
1276  302.2716388698335  -17.900000000000002  2.7619
1277  303.34352411405274  -17.900000000000002  1.7785
1278  304.41540935827203  -17.900000000000002  0.8865
1279  305.48729460249126  -17.900000000000002  0.7045
1280  306.5591798467105  -17.900000000000002  1.5148
1281  307.63106509092984  -17.900000000000002  2.486
1282  308.70295033514907  -17.900000000000002  3.4862
1611  302.1737029180517  -17.200000000000003  2.7964
1612  303.2414545184688  -17.200000000000003  1.7778
1613  304.3092061188859  -17.200000000000003  0.7618
1614  305.3769577193031  -17.200000000000003  0.2828
1615  306.44470931972023  -17.200000000000003  1.2881
1616  307.51246092013736  -17.200000000000003  2.3061
1617  308.58021252055454  -17.200000000000003  3.3251
1948  302.12144104420383  -16.500000000000004  2.96
1949  303.1852489352046  -16.500000000000004  1.9991
1950  304.2490568262053  -16.500000000000004  1.1414
1951  305.312864717206  -16.500000000000004  0.8255
1952  306.3766726082067  -16.500000000000004  1.4602
1953  307.44048049920747  -16.500000000000004  2.378
1954  308.50428839020816  -16.500000000000004  3.354
2286  302.1144916795328  -15.800000000000004  3.231
2287  303.1745425275311  -15.800000000000004  2.3783
2288  304.23459337552947  -15.800000000000004  1.7141
2289  305.2946442235278  -15.800000000000004  1.5116
2290  306.3546950715262  -15.800000000000004  1.9226
2291  307.4147459195246  -15.800000000000004  2.6782
2292  308.47479676752295  -15.800000000000004  3.5657
2625  302.1525320032532  -15.100000000000003  3.5847
2626  303.2090093878799  -15.100000000000003  2.8525
2627  304.2654867725067  -15.100000000000003  2.3414
2628  305.32196415713344  -15.100000000000003  2.2103
2629  306.3784415417602  -15.100000000000003  2.5193
2630  307.43491892638696  -15.100000000000003  3.1411
2966  303.28836158755774  -14.400000000000006  3.3833
2967  304.3414461764034  -14.400000000000006  2.9904
2968  305.3945307652491  -14.400000000000006  2.9138
2969  306.4476153540948  -14.400000000000006  3.1765
3309  305.5120877477807  -13.700000000000006  3.6218

Observation sequence:
['278', '279', '280', '281', '282', '609', '610', '611', '612', '613', '614', '942', '943', '944', '945', '946', '947', '1276', '1277', '1278', '1279', '1280', '1281', '1282', '1611', '1612', '1613', '1614', '1615', '1616', '1617', '1948', '1949', '1950', '1951', '1952', '1953', '1954', '2286', '2287', '2288', '2289', '2290', '2291', '2292', '2625', '2626', '2627', '2628', '2629', '2630', '2966', '2967', '2968', '2969', '3309']
